prob_id,control_1,control_2,control_3,case_1,case_2,case_3,logFC,p_value,t,FDR
11716585_a_at,7.74,8.21,8.3,4.88,5.62,6.06,-2.5633333333333344,0.002658235206160446,6.647862901704092,0.0011392966472013092
11717197_x_at,6.5,6.49,7.17,4.09,4.76,3.69,-2.54,0.0027292379066627794,6.600929082001268,0.002309519526514998
11724202_s_at,10.62,10.55,10.93,9.56,8.97,8.93,-1.5466666666666669,0.0027486521581444566,6.588357277265953,0.03260271611402858
11718029_a_at,9.6,10.05,9.8,7.55,7.31,8.28,-2.1033333333333326,0.0027537491002005477,6.585074838564285,0.01615323955771287
11717459_a_at,8.73,9.14,9.03,4.24,6.2,4.87,-3.8633333333333324,0.00282194157498378,6.541865547580063,0.0023697374681049153
11717080_x_at,9.43,8.91,9.0,7.53,7.31,6.7,-1.9333333333333336,0.002824244085957495,6.540429084887751,0.0031061647148106306
11719635_a_at,10.55,10.42,10.27,5.76,7.16,7.55,-3.589999999999999,0.002834777538326559,6.533875938599418,0.008147990127134179
11716223_a_at,10.91,10.67,10.91,9.08,7.86,8.12,-2.476666666666665,0.0028481773115724297,6.525582769716305,0.0012267750284050494
11721637_s_at,6.61,6.01,6.19,4.61,4.62,5.06,-1.5066666666666677,0.0028782662358244697,6.507134386768205,0.008498105121575663
11717314_a_at,8.2,7.27,7.47,5.41,4.34,5.01,-2.7266666666666657,0.0029310087047826647,6.47536231282398,0.0014389071039482859
11724484_a_at,10.38,10.46,10.13,8.01,8.79,7.73,-2.14666666666667,0.0029584945180593115,6.459082481620438,0.02549934251104043
11724689_a_at,7.54,9.37,8.06,3.9,4.9,4.16,-4.003333333333332,0.0029870110989767343,6.44238770456146,0.031057818036536303
11721515_a_at,7.43,6.99,7.58,5.82,5.01,5.5,-1.8900000000000006,0.00303583092000647,6.414256979808357,0.007663782568170436
11727950_s_at,7.83,7.94,7.12,5.55,5.91,5.24,-2.0633333333333326,0.003037655187354012,6.413216615660326,0.04230135994550247
11718928_at,6.56,6.46,6.79,4.58,5.24,5.27,-1.5733333333333324,0.0030431947164225076,6.410062174889266,0.0036836743634351644
11730553_a_at,7.97,7.0,7.18,4.34,5.06,3.83,-2.9733333333333336,0.0030663784510539982,6.396936625422589,0.04236091408528822
11719891_s_at,6.11,5.72,6.33,3.42,2.45,3.81,-2.826666666666667,0.0030673252715478464,6.396403176814619,0.014482276580623201
11720330_at,8.62,8.68,9.35,6.97,7.13,6.41,-2.046666666666667,0.0030677208606895846,6.3961803577405965,0.00773627811870641
11726429_a_at,6.81,6.11,6.38,4.71,4.97,5.11,-1.5033333333333339,0.003071402263050093,6.394108469175196,0.026546728031638787
11722729_a_at,7.77,7.5,8.05,6.16,5.16,5.31,-2.2300000000000004,0.0030958882761378476,6.380405069879143,0.02643582225825838
11721282_a_at,10.24,9.93,10.14,7.34,8.35,7.09,-2.51,0.0031677343884542303,6.340954268508341,0.01825450586232222
11716325_a_at,11.33,11.5,12.17,9.98,9.67,9.33,-2.0066666666666677,0.003216422930023049,6.314839721182588,0.004909034768453145
11724204_s_at,5.76,4.83,5.06,3.49,3.47,3.31,-1.7933333333333321,0.0032761010881649875,6.283486204445924,0.032797688979087074
11722195_s_at,9.05,8.55,8.06,6.41,6.76,6.72,-1.9233333333333347,0.0032901838178036593,6.276189803352408,0.00852343856488584
11726756_a_at,7.46,7.86,7.75,3.23,4.64,2.32,-4.293333333333334,0.003313105046891693,6.264395825604228,0.038260431810444105
11724096_a_at,9.46,9.5,9.31,7.08,7.67,8.06,-1.8199999999999994,0.003318954642669753,6.2614020140447275,0.01888585064567566
11717075_a_at,10.42,9.76,9.79,8.44,7.64,8.0,-1.9633333333333347,0.0034123219970905194,6.214477142076664,0.001270466499588255
