gene,A7-A0D9-11A,A7-A0DB-11A,A7-A13G-11A,A7-A0D9-01A,A7-A0DB-01A,A7-A13G-01A
ACTN4|81,46571,31236,16989,77618,60148,36379
ACTR10|55860,5235,5298,5037,7989,8249,5699
ACTR1A|10121,15842,14805,8050,11553,14699,9640
ACTR1B|10120,6120,5596,2784,6462,5335,5680
ACTR2|10097,25092,31764,19397,34251,38074,34549
ACTR3B|57180,393,330,293,2409,1805,568
ACTR3C|653857,155,157,62,460,202,105
ACTR3|10096,11782,17427,8053,19486,21371,13287
ACTR5|79913,614,586,471,1357,1463,880
ACTR6|64431,1622,1555,2185,2709,2924,3519
ACTR8|93973,1997,1610,1459,3629,2905,3334
ACTRT1|139741,2,0,0,0,0,0
ACTRT2|140625,0,0,0,0,1,0
ACVR1B|91,4101,3231,2302,10430,5442,6221
ACVR1C|130399,14481,12370,50881,470,801,127
ACVR1|90,4263,6438,3858,4077,4442,3844
ACVR2A|92,1912,2173,1968,1937,1385,600
ACVR2B|93,1346,1420,1283,2967,2629,2196
ACVRL1|94,5498,10394,3949,1451,2579,981
ACY1|95,2719,2439,3290,3461,5359,2981
ACY3|91703,8,0,0,2,177,16
ACYP1|97,183,274,157,439,458,363
ACYP2|98,1460,1122,1034,1399,1072,1034
ADAD1|132612,0,0,0,0,0,0
ADAD2|161931,5,14,0,3,23,2
ADAL|161823,993,1182,1310,671,1199,1260
ADAM10|102,4617,7438,4708,10745,8342,9907
ADAM11|4185,42,33,14,136,43,27
ADAM12|8038,9397,4846,3657,12548,11342,8309
ADAM15|8751,10934,14510,7277,9230,49690,33258
ADAM17|6868,2583,3649,2038,4134,3723,2805
ADAM18|8749,0,0,0,130,2,0
ADAM19|8728,568,823,382,2613,908,989
ADAM20|8748,0,29,8,10,15,7
ADAM21P1|145241,6,2,8,6,77,10
ADAM21|8747,22,9,42,18,308,70
ADAM22|53616,1774,466,323,226,493,223
ADAM23|8745,271,608,263,385,180,76
ADAM28|10863,176,83,54,121,492,281
ADAM29|11086,0,0,0,9,4,5
ADAM2|2515,0,0,0,49,1,1
ADAM30|11085,0,0,1,0,0,4
ADAM32|203102,191,200,160,4455,300,140
ADAM33|80332,2479,3009,1632,267,672,190
ADAM3A|1587,56,58,33,215,114,111
ADAM5P|255926,1,2,4,4073,8,10
ADAM6|8755,18592,4196,9309,36225,51805,8035
ADAM7|8756,0,0,0,1,0,0
ADAM8|101,456,188,47,590,766,1159
ADAM9|8754,9362,17080,8056,87797,12854,6076
ADAMDEC1|27299,30,35,4,38,168,99
ADAMTS10|81794,1923,822,323,397,535,582
ADAMTS12|81792,3036,1628,1905,2986,1366,1992
ADAMTS13|11093,205,200,186,459,495,751
ADAMTS14|140766,33,669,31,1469,640,590
